CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,STIM_TIME,STIM_CONCENTRATION,triplicate_sd_per_day,triplicate_mean_per_day
15xTA,CHARMS-15xTA,STIM,2024-01-31,24,100,,0
15xTA,CHARMS-15xTA,STIM,2024-02-08,48,100,,0.0277058823529412
15xTA,CHARMS-15xTA,STIM,2024-02-12,48,100,,0.046196170727053
15xTA,CHARMS-15xTA,UNSTIM,2024-01-31,24,100,,0
15xTA,CHARMS-15xTA,UNSTIM,2024-02-08,48,100,,0.0165882352941176
15xTA,CHARMS-15xTA,UNSTIM,2024-02-12,48,100,,0.00865084918262197
Cl204,tKO_EL4,STIM,2024-02-12,48,100,,0.000930284333057693
Cl204,tKO_EL4,UNSTIM,2024-02-12,48,100,,0.000243835209804296
Cl69,cl069,STIM,2024-02-12,48,100,,1
Cl69,cl069,UNSTIM,2024-02-12,48,100,,0.0269782456586731
cl069,cl069,STIM,2024-01-31,24,100,,1
cl069,cl069,STIM,2024-02-08,48,100,,1
cl069,cl069,UNSTIM,2024-01-31,24,100,,0.025367484825797
cl069,cl069,UNSTIM,2024-02-08,48,100,,0.0458823529411765
cl204,tKO_EL4,STIM,2024-01-31,24,100,,0
cl204,tKO_EL4,STIM,2024-02-08,48,100,,0.000235294117647059
cl204,tKO_EL4,UNSTIM,2024-01-31,24,100,,0.00275435956841219
cl204,tKO_EL4,UNSTIM,2024-02-08,48,100,,0.000705882352941177
